numberOfRooms,numberOfBedrooms,livingSpace,apartmentFloor,zipCode,price
3,2,56,5,75020,570000
3,2,57,4,75020,560000
3,2,56,6,75020,550000
2,1,40,5,75005,475000
2,1,46,8,75020,490000
2,1,"48,9",1,75016,520000
4,3,86,2,75020,780000
2,1,46,3,75003,358000
2,1,37,3,75016,500000
4,3,86,2,75020,925000
6,3,227,2,75016,3626000
4,2,"124,1",3,75008,2180000
2,1,"35,4",5,75005,499000
2,1,"35,3",5,75019,338000
3,2,73,2,75004,899000
2,1,21,3,75019,168000
2,1,"45,3",2,75011,546000
3,2,70,3,75018,839000
3,2,67,6,75019,593250
3,2,101,5,75008,1285000
2,1,"35,5",5,75019,299000
2,1,"40,9",4,75016,399900
2,1,29,2,75011,335000
3,1,"64,7",2,75017,720000
3,2,58,1,75019,420000
2,1,60,1,75008,499000
2,1,42,1,75018,315000
3,2,55,6,75019,508000
3,2,75,1,75016,990000
2,1,30,4,75018,281000
5,3,136,4,75009,1290000
2,1,37,5,75019,345000
3,2,102,7,75015,998000
2,1,28,6,75010,270000
2,1,30,5,75019,190000
5,3,170,4,75008,3390000
2,1,"63,9",3,75016,670000
4,3,"103,9",1,75012,1092000
3,2,"58,5",2,75019,455000
2,1,50,2,75019,325500
4,3,106,6,75013,1490000
3,2,48,3,75010,415000
2,1,25,3,75116,299000
2,1,69,1,75011,485000
3,2,69,1,75011,485000
2,1,"26,5",1,75017,285000
2,1,39,4,75014,364000
3,2,67,1,75015,605000
3,2,56,4,75015,499000
3,1,45,2,75018,499000
5,3,114,2,75016,1650000
3,2,50,3,75015,490000
3,1,49,1,75015,154000
3,2,69,4,75007,1080000
3,2,75,2,75116,840000
3,2,73,2,75003,940000
2,1,42,1,75011,415000
3,2,74,1,75017,898000
6,4,158,3,75015,1775000
2,1,46,2,75015,395000
4,3,63,3,75011,679000
5,4,114,5,75016,1495000
3,2,63,3,75011,679000
5,3,107,3,75010,1350000
4,3,82,7,75015,898000
5,3,101,5,75015,1190000
3,2,"72,4",9,75014,698250
7,4,275,4,75116,4600000
2,1,57,10,75013,415000
3,2,"58,4",3,75010,498000
2,1,27,2,75007,360000
2,1,28,1,75012,260000
2,1,45,1,75116,495000
4,2,109,2,75003,2100000
3,1,"78,7",1,75016,624000
2,1,35,3,75003,495000
2,1,38,4,75014,364000
5,3,95,5,75011,940000
2,1,42,6,75010,390000
4,3,81,2,75019,682500
2,1,44,2,75019,360000
3,2,"44,6",6,75005,609000
